Mês,Salário Médio Real de Admissão,Salário Médio Real de Desligamento
janeiro/2020,"R$2.410,49","R$2.464,46"
fevereiro/2020,"R$2.354,05","R$2.465,92"
março/2020,"R$2.369,53","R$2.365,60"
abril/2020,"R$2.522,64","R$2.366,52"
maio/2020,"R$2.399,74","R$2.494,43"
junho/2020,"R$2.345,81","R$2.552,58"
julho/2020,"R$2.346,37","R$2.578,61"
agosto/2020,"R$2.354,89","R$2.534,94"
setembro/2020,"R$2.311,99","R$2.519,77"
outubro/2020,"R$2.270,15","R$2.474,45"
novembro/2020,"R$2.237,78","R$2.459,29"
dezembro/2020,"R$2.274,31","R$2.432,25"
janeiro/2021,"R$2.303,17","R$2.372,78"
fevereiro/2021,"R$2.241,38","R$2.348,16"
março/2021,"R$2.317,59","R$2.349,70"
abril/2021,"R$2.379,10","R$2.391,12"
maio/2021,"R$2.283,98","R$2.365,68"
junho/2021,"R$2.287,31","R$2.388,80"
julho/2021,"R$2.251,67","R$2.375,48"
agosto/2021,"R$2.223,05","R$2.311,76"
setembro/2021,"R$2.198,86","R$2.274,69"
outubro/2021,"R$2.172,90","R$2.258,03"
novembro/2021,"R$2.135,62","R$2.236,63"
dezembro/2021,"R$2.135,43","R$2.239,61"
janeiro/2022,"R$2.264,78","R$2.215,94"
fevereiro/2022,"R$2.179,66","R$2.223,26"
março/2022,"R$2.159,32","R$2.201,33"
abril/2022,"R$2.176,49","R$2.233,84"
maio/2022,"R$2.156,00","R$2.223,90"
junho/2022,"R$2.170,67","R$2.262,39"
julho/2022,"R$2.188,05","R$2.257,82"
agosto/2022,"R$2.221,40","R$2.268,67"
setembro/2022,"R$2.207,14","R$2.308,07"
outubro/2022,"R$2.198,86","R$2.253,99"
novembro/2022,"R$2.175,68","R$2.276,81"
dezembro/2022,"R$2.155,53","R$2.294,57"
janeiro/2023,"R$2.255,01","R$2.279,90"
fevereiro/2023,"R$2.199,25","R$2.295,07"
março/2023,"R$2.166,05","R$2.281,40"
abril/2023,"R$2.214,91","R$2.303,57"
maio/2023,"R$2.194,92","R$2.280,77"
junho/2023,"R$2.208,59","R$2.351,43"
julho/2023,"R$2.229,80","R$2.321,54"
agosto/2023,"R$2.231,19","R$2.323,17"
setembro/2023,"R$2.222,37","R$2.331,88"
outubro/2023,"R$2.216,71","R$2.311,18"
novembro/2023,"R$2.206,21","R$2.327,50"
dezembro/2023,"R$2.199,13","R$2.354,25"
janeiro/2024,"R$2.283,51","R$2.308,97"
fevereiro/2024,"R$2.229,54","R$2.313,71"
março/2024,"R$2.223,93","R$2.331,00"
abril/2024,"R$2.263,28","R$2.348,22"
maio/2024,"R$2.259,77","R$2.337,47"
junho/2024,"R$2.254,33","R$2.364,30"
julho/2024,"R$2.278,58","R$2.353,51"
agosto/2024,"R$2.270,64","R$2.362,85"
setembro/2024,"R$2.262,00","R$2.344,98"
outubro/2024,"R$2.242,26","R$2.315,61"
novembro/2024,"R$2.234,58","R$2.347,97"
dezembro/2024,"R$2.233,65","R$2.365,12"
janeiro/2025,"R$2.325,60","R$2.339,73"
fevereiro/2025,"R$2.249,45","R$2.344,13"
março/2025,"R$2.253,56","R$2.332,87"
abril/2025,"R$2.269,64","R$2.372,60"
maio/2025,"R$2.258,62","R$2.340,69"
junho/2025,"R$2.283,15","R$2.381,19"
julho/2025,"R$2.277,51","R$2.365,70"